Nob Hill,Castro,Hayes Valley,Noe Valley,Mission
#C7C1B1,#DACA9B,#B3B1B4,#918E65,#7E8C96
#C2C3CE,#F2E9D8,#B4BDA1,#233E5B,#D7D0B3
#B06A4D,#A4AAAE,#B6A19F,#B0CBDE,#A6ABBB
#BDBAB2,#71A3B9,#BD92B3,#CDCFCC,#AFC5D0
#AFBFCB,#B6A281,#4562B7,#A1A09B,#F1F3F2
#E8DDCC,#9A9EA4,#9B9A87,#9C938B,#D1BFB4
#D1A568,#CEB285,#6184A8,#936164,#9D7979
#D0C5B2,#303F60,#7C90AD,#716857,#777569
#9E9891,#DCCB9D,#646060,#B3A197,#B5BCBC
#93887B,#99A3B1,#8A97A1,#7F9FAE,#AA9381
#A1B1B0,#EEDCC0,#A5B1A5,#D8C09A,#CDC1B3
#CCC8C1,#7C8790,#C1DCBF,#FFC78A,#C5D0CC
#C0A881,#A1AFE0,#657B9F,#D8C09A,#7B7673
#C1B591,#D79D8F,#A9ADAC,#FFD89D,#C0BFBB
#A4B4A2,#837F79,#C1C4C1,#F8F8FA,#342E2E
#D0B384,#C0AF99,#87929A,#EBE4C9,#A0A4A5
#F8EFCF,#B9CAAA,#A0A18A,#C9D0D4,#A29E95
#A8AEB1,#FAD36A,#D0D1C9,#E2D463,#8E9FB1
#A9B3B9,#57688A,#8CB3C4,#DED6CB,#D7D2BF
#DBCBAE,#8195AB,#CBCDD8,#E5D6B6,#904B3B
#67879C,#99B0C8,#B4B0D6,#758499,#A7AEB8
#B6AB9E,#CAD3DF,#C5B8AD,#567D9E,#504F55
#C6BCA5,#BCD1E3,#8A94A2,#A5AA92,#ACB9CC
#D8C09C,#A8A8AC,#7D8384,#88928A,#B7BFCA
#C7D3C6,#8DA1B7,#8D8F92,#A7AFA0,#D1BFAB
#B5B5B8,#DBDBD9,#AAB3C2,#8CA0AB,#AD7D4B
#7A868E,#F4CB97,#EEBF8D,#8B998A,#C8C9C3
#7A868E,#B4BCC5,#9FAEBC,#B0C7CD,#A68C8D
#7B7B78,#426E9A,#CEC8B0,#D0D4DF,#E6E1E1
#B5B4AF,#708B9F,#B5CADC,#A09991,#B8B6BB
#987562,#8198AE,#D3CBBB,#C7C1C5,#B68F70
#5A3520,#4B658C,#E2D7C8,#8E97A6,#8C846F
#C1B3A1,#92B0C6,#E8CB9A,#CCCCCE,#353EFD
#C47462,#92B0C6,#CEE1F3,#C8C3BD,#BA6E4C
#B8CCE4,#8DA2B1,#D4D8D0,#ADC5AD,#767C7A
#A09D8D,#5E7C83,#184C9A,#B1ABAF,#D3D4CC
#EBBEAF,#3F5F7B,#D4BBA0,#D6DADB,#7A3D42
#BABABA,#5D687B,#919D93,#B8BFC7,#CCD0D1
#B1B6B7,#A8B4BF,#878672,#A1A7A7,#DDD0A6
#C5CED5,#D4DDE3,#A99D9C,#7C92A1,#D6D5D1
#EED4AE,#C58E93,#E6AE6D,#DAD2D2,#CCDDE4
#925B4A,#D7817B,#C0B5A3,#89919B,#CDC1B1
#BEA07D,#9EA9B3,#BFBFB9,#656563,#E1DAD0
#FCF0C7,#B2B6C4,#E4E4D8,#C3BDAF,#454F5B
#F4E1C4,#CCB39F,#7993BA,#C3C5B8,#48534D
#F8F2D6,#C1CFDA,#948F88,#656E73,#D3DBE6
#8E4631,#D9DFD5,#A68B8F,#CBC7BC,#B9AFB0
#DFE0E0,#EAB7A5,#E6EBEA,#D6DCE8,#C8BDAA
#B4B6B1,#DDD9C4,#BDB788,#7AACDF,#CCAD8E
#E3E6E3,#B0B0A8,#708098,#9FB0AA,#CDAD98
#DCD3BC,#2E465C,#8DAFD7,#CFBF9D,#8A3B3E
#DFDFE0,#DFD1B4,#C4C9D5,#B4BDA0,#DDC9AE
#CFC2A8,#E2E2CC,,#8E8E86,#71598D
#6F7E98,#73A0CE,,#C3BDBD,#DDE2E5
,#BCA187,,#C3BDBD,#C0C0B4
,#BFB29B,,#9FA7B4,#DEE0DF
,#A9A4A1,,#DBE5EF,#9BA5A7
,#A2A6A3,,#DFB07C,#9B8E85
,#8A908C,,#9D9E96,#A3A9A5
,#BEB5B5,,#B6BBBF,#AAA69A
,#C5C5BC,,#C4C9CC,#965746
,#DEA692,,#AFB0B2,#965746
,,,#BDC2A2,#965746
,,,#A7A8A3,#D4CFBA
,,,#D8D5CE,#79819C
,,,#E3DBC6,#B3B2AE
,,,#DDE2E6,#E6E2DF
,,,#B5C5D4,#366996
,,,#D1D7D7,#90A0B1
,,,#BFBFBD,#DDD2BC
,,,#B0BABC,#ABB1B1
,,,#545E6A,#B6CBC4
,,,#E7E6E1,#98ADBD
,,,#DCDCDC,#C0C0C0
,,,#784043,#BD9969
,,,#CCCDC7,#B68C5C
,,,#DCD3B6,#B9C4CD
,,,#8297AA,#D1CABC
,,,#FDFFF2,#C1C7B9
,,,#8AAC79,#B5BCBC
,,,#F9FAFC,#95A197
,,,#8F908A,#D5BD8F
,,,#A5A6A0,#BFD7D7
,,,#819A94,#E2DED5
,,,#BCC8C8,#87867A
,,,#3A3937,#9DBACC
,,,#A04D3D,#E0E0DB
,,,#ABB0A9,#A1CAC0
,,,#ECDDB2,#ACA89D
,,,#4D6F92,#374855
,,,#9FA6C0,#AD9D83
,,,#AAAAA6,#D8D7D2
,,,#BBBAB5,#B3B5B2
,,,#8E8E8C,#887769
,,,#E3DAC7,#A2A697
,,,#EED088,#D9DFE3
,,,#C4C4C6,#E0CEA2
,,,#A9ACA4,#AFA89D
,,,#EDC0AB,#8AA2AD
,,,#86A0BA,#D8CDCB
,,,#B2B1B6,#DDD4BD
,,,#A5AEB4,#ACB6C3
,,,#C8A68D,#E1D8C9
,,,#D6CFB3,#D6C6B6
,,,#7C5D5A,#D0D2CF
,,,#85A3C4,#F4F3EE
,,,#A3A9A7,#D1DAE1
,,,#858885,#2B2B2C
,,,#7E8796,#B99B77
,,,#BFCACC,#BBB9B6
,,,#6B6A76,#DABE8F
,,,#D4C59F,#C6435A
,,,#CEEBF1,#96A0AA
,,,#B3B2A9,#5B5B5B
,,,,#888679
,,,,#CBCAC5
,,,,#9F9B90
,,,,#D6A875
,,,,#EAEBE6
,,,,#5A5D6E